"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"National Commodities Management Services Limited","BHARATJI ODHARJI SOLANKI","6151646","GODOWN NO 1A,1B & 2,R S NO 331, AT-KANT,TALUKA-DEESA,DISTRICT-BANASKANTHA","Banas Kantha","GUJARAT","1761","23-Oct-2024","21-Jul-2026","9724028631","Active",""
"National Commodities Management Services Limited","Rama Cold, Godown No.-1","5551649","SURVEY NO. 254/A/13, VILLAGE BHOYAN, TALUKA DEESA,DISTRICT- BANASKANTHA","Banas Kantha","GUJARAT","2791","29-Oct-2024","14-Jun-2026","9724028631","Active",""
"National Commodities Management Services Limited","AMITA JITENDRA PATEL","6663215","Warehouse / Godown Premises No 2, AMITA JITENDRA PATEL, Located At : Adundra,, New Revenue Survey No 123 Village : Adundra, Jotana Road, Near Maa Shakti Weigh Bridge","Mahesana","GUJARAT","4312","15-Dec-2022","14-Mar-2027","9773983274","Inactive","EFFECTIVE CONTROL EXPIRED"
"National Commodities Management Services Limited","KAILASHBEN PATEL","6654305","Warehouse / Godown Premises No 1, KAILASHBEN PATEL, Located At :, Adundra, New Revenue Survey No 111, 112, 120, 123, 125 & 128, Village : Adundra, Jotana Road, Near Maa Shakti Weigh Bridge","Mahesana","GUJARAT","5648","29-Nov-2022","28-Nov-2027","9773983274","Inactive","EFFECTIVE CONTROL EXPIRED"
"National Commodities Management Services Limited","Parth Estate","9111654","Godown No 1,2,3,4 plot No 6 to 33 Survey No 4101, ( Old survey No 1160 Paiki 1 ) Village- Kamli,Taluka- Unjha","Mahesana","GUJARAT","11225","12-Jun-2023","19-Oct-2026","8448300463","Inactive","EFFECTIVE CONTROL EXPIRED"
"National Commodities Management Services Limited","C/o Prajapati Dhavalkumar Rameshbhai, Parth Estate Warehouse","7071541","Godown No. 78 & 80, Survey No. 1160 Paiki 1 ( Plot No. 78 & 79 & 80 & 81), Village Kamli Taluka Unjha","Mahesana","GUJARAT","1760","16-Apr-2025","15-Oct-2027","9824427645","Active",""
"National Commodities Management Services Limited","Tirupati Industrial Warehouse","7068661","Tirupati Industrial Plots, Plot No. 41 and 42 Survey No. 146/1,146/2 and 146/5, Village Gundala, Taluka Gondal","Rajkot","GUJARAT","2565","11-Apr-2025","10-Oct-2027","8200601102","Active",""
"NAYANAABEN DESAI","N V DESAI","6983076","HATHAJ-WALLA ROAD,","Kheda","GUJARAT","7500","03-Oct-2024","02-Oct-2029","9824369697","Active",""
"NAYANAABEN DESAI","N V DESAI PWS 2","6781207","HATAJ WALL ROAD,","Kheda","GUJARAT","7430","13-Sep-2023","12-Mar-2028","9662313497","Active",""
"NAYANABEN BAMROLIYA","SUNRISE WAREHOUSE","7087562","RSN 439, PLOT NO-1","Junagadh","GUJARAT","4200","14-May-2025","13-May-2027","9724634106","Active",""
"Parulben Jivani","PARULBEN GIRISHKUMAR JIVANI","6986947","Plot No. 15,16 N.A. No.99, C.S. NO.495/ P1 & 495/P2, 498/1/P1, 498/1/P2","Junagadh","GUJARAT","2896","15-Oct-2024","14-Oct-2029","9825881901","Active",""
"PATIDAR AGRICARE","PATIDAR AGRICARE","6902613","PATIDAR AGRICARE ,REVENUE SURVEY NO.478(OLD 290),AT : SAMETRI,PO : SAMETRI,DEHGAM RAKHIYAL ROAD,DEHGAM,, DIS : G'NAGAR DAHEGAM ,GUJARAT, 382305","Gandhinagar","GUJARAT","6879","31-Mar-2024","30-Mar-2029","9825065560","Active",""
"Paun Bhikhalal","Alpaben Bhikhalal Pau warehouse","7130040","Revenue Survey No. 52 Paiki and Revenue Survey No. 52 Paiki 5, Plot No. 3 Village Ranpur Tq.","Rajkot","GUJARAT","4240","13-Aug-2025","12-Feb-2030","9825506251","Active",""
"pithiya rajsibhai","Unique Warehouse","6703896","Unique Warehouse ,NEAR BUS STAND,AT-BAMANVADA,TA-MANGROL,DI-JUNAGADH,PIN-362240.,","Junagadh","GUJARAT","1500","31-Mar-2023","30-Mar-2028","9725835224","Active",""
"Possible Warehousing LLP","Possible Warehousing Shade No-04","6822423","Gomta R.S. No. 134/P1, 134/P1, Shed No 04, Plot No.1, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkot- Junagadh National Highway","Rajkot","GUJARAT","4000","21-Dec-2023","20-Dec-2028","8758907444","Active",""
"possible warehousing llp","Possible Warehousing LLP","6934749","Gomta R.S.No. 134/P-1/P-2, Plot No-02 , Shad No-05, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkot- Junagadh National Highway","Rajkot","GUJARAT","6404","29-May-2024","28-May-2029","9764312000","Active",""
"possible warehousing llp","Possible Warehousing Shed No. 01 & 02","6847719","Gomta R.S. No. 129/1/P1/P1, Shed No 01 & 02, Plot No. 02 To 16, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkoy- Junagadh National Highway","Rajkot","GUJARAT","16180","31-Jan-2024","30-Jan-2029","9913004132","Active",""
"Possible Warehousing LLP","JAGANI KISHORBHAI RAMJIBHAI HUF","6937353","Sur No. RSN-90/1/P-1/P-2, Plot No 09, Rajkot-Porbandar National Highway, N/R Ladli Farm","Rajkot","GUJARAT","2405","31-May-2024","30-May-2029","8490060049","Active",""
"Possible Warehousing LLP","POSSIBLE WAREHOUSING LLP SHED NO.6","6960660","Gomta R.S.No. 134/P-1/P-2, Plot No-02 , Shad No-06, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkot- Junagadh National Highway","Rajkot","GUJARAT","4313","21-Jul-2024","20-Jul-2029","8758907444","Active",""
"Possible Warehousing LLP","Possible Warehousing Shed No-04C&D","6996128","Gomta R.S. No. 134/P1, Shed no.04, Plot No.01, nr- Akshar Cold Storage, Bh- Balaji Nursing Collage, Charakhdi Junction, Rajkot- Junagadh, National Highway","Rajkot","GUJARAT","3379","21-Nov-2024","20-May-2029","8758907444","Active",""
"Possible Warehousing LLP","Jagani Mehulbhai Kishorbhai","6952568","Sur no. rsn- 90/1/P-1/P-2, Plot no.7,, Rajkot-Porbandar national Highway, Nr. Ladli Farm,At-Navagadh, Ta- Jetpur, Dist- Rajkot- 360375","Rajkot","GUJARAT","2660","28-Jun-2024","27-Dec-2025","8490060038","Active",""
"Possible Warehousing Llp","POSSIBLE WAREHOUSING LLP SHED NO.7","6971469","Gomta R.S.No. 134/P-1/P-2, Plot No-02 , Shad No-07, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkot- Junagadh National Highway","Rajkot","GUJARAT","3919","27-Aug-2024","26-Aug-2029","8758907444","Active",""
"Possible Warehousing Llp","Rameshkumar Gordhanbhai Gajera","7076763","Sur. No, RSN 266/1, P3, Charkhadi Crossing, Gondal- Jetpur Higway","Rajkot","GUJARAT","3419","24-Apr-2025","23-Oct-2027","9764312000","Active",""
"Possible Warehousing LLP","Possible Warehousing Shade No-03A & B","6999544","Gomta R.S. No. 129/1/P1/P1, Shed No 03, Plot No. 17 To 25,, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkoy- Junagadh National Highway, Rajkot, GUJARAT - 360320","Rajkot","GUJARAT","4101","29-Nov-2024","28-May-2029","9764312000","Active",""
"Possible Warehousing LLP","Possible Warehousing Shade No-03","6811269","Gomta R.S. No. 129/1/P1/P1, Shed No 03, Plot No. 17 To 25, N/r- Akshar Cold Storage, B/H- Balaji Nursing Collage, Charkhadi Junction, Rajkoy- Junagadh National Highway","Rajkot","GUJARAT","4300","07-Dec-2023","06-Dec-2028","9764312000","Active",""
"Radhe Cold Storage","Radhe Cold Storage","7050123","Plot No. 17+18, R. S. No. 143/1 & 143/2, R K Industrial Zone - 12","Rajkot","GUJARAT","3976","26-Mar-2025","25-Mar-2030","9825592870","Active",""
"Rajendra Cold Storage","Rajendra Cold Storage","9451667","Plot No. G/540-541 Metoda GIDC Kalawad Road,","Rajkot","GUJARAT","6500","25-Nov-2020","24-Nov-2025","8238302502","Active",""
"Rajesh Gupta","Rajesh Gupta S/o Sajjan Kumar Gupta Warehouse","6998462","Plot No. 209, Palej, GIDC Estate, Taluka Bharuch,","Bharuch","GUJARAT","3305","26-Nov-2024","25-May-2029","8307574049","Active",""
"RakeshBhai Patel","Shree Tirupati Trading Co.","6607147","PLOT NO B 8 AND B 9 SURVEY NO 255, Godown No 1,2,3A,3BAT KAPODA TA IDAR, KAPODA,,","Sabar Kantha","GUJARAT","9273","26-Jul-2022","25-Jul-2027","9825316572","Active",""
"Ramaben Kikani","Shrinath Logistics","6571772","Shrinath Godown No 1,2 & 4, Survey no 179/3/P1 Ajab Road TB Hospital Road","Junagadh","GUJARAT","8458","29-Apr-2022","28-Apr-2027","9824284629","Active",""
"Reina Storage and Allied Service","Reina Storage & Allied Services","7077308","Survey No. 37/2, Commercial Plot No. 3,4 & 5, Unnamed Road, Mundra Nana Kapaya","Kachchh","GUJARAT","12500","24-Apr-2025","23-Apr-2030","9712036000","Active",""
"SAFAL AGRI COLD","SAFAL AGRI COLD","7127343","Gomta R.S. 154/P2, 27 National highway, Charkhadi road, At. Gomta, Taluka. Gondal, Dist. Rajkot, Gujarat, 360320","Rajkot","GUJARAT","4994","08-Aug-2025","07-Aug-2030","9825540777","Active",""
