"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Ashok Sankhla","Heera lal Ashok kumar","6973531","Village Khara, Khasra No. 1016/227","Bikaner","RAJASTHAN","7486","29-Aug-2024","28-Aug-2029","9414142679","Active",""
"Asian Warehousing LTD","Asian Warehousing Ltd","6813331","Kota -Jaipur Road,NH-52, Near Railway Over Bridge Devpura","Bundi","RAJASTHAN","10000","12-Dec-2023","11-Dec-2028","8949641244","Active",""
"Babu Lal","Shri Balaji Warehouse","6676803","Khasra No. 26/2 & 26/4, Village Eka Bhatiyan, Tehsil Phalodi,","Jodhpur","RAJASTHAN","5645","24-Jan-2023","23-Jan-2028","9460105929","Active",""
"BADAN KANWAR","ROOPKRIPA LOGISTICS","7021686","KHASRA NO 460/33, ROOPSAR, BHAWAD FANTA, NETRA, BAORI","Jodhpur","RAJASTHAN","6500","16-Feb-2025","15-Aug-2026","9929955955","Active",""
"BADRILAL PATIDAR","Shree Ram Warehouse","6702633","Village-Post, Sidhpura, Pratapgarh","Pratapgarh","RAJASTHAN","3130","31-Mar-2023","30-Mar-2028","9950760085","Active",""
"BAGDA RAM","M/s Shree Vinayak Warehouse","6664742","Khasra No. 912/881,914/905 (881/15 & 881/16 (Old)), Bypass Road, Village Mathaniya,","Jodhpur","RAJASTHAN","2334","22-Dec-2022","21-Dec-2027","9928604594","Inactive",""
"Baraju Devi","M/s Maa Ashapura Warehouse","6663306","Khasra No. 881/11 & 881/13, Village Mathania, Tehsil Tinwari,","Jodhpur","RAJASTHAN","3068","15-Dec-2022","14-Dec-2027","9929720812","Inactive","EXPIRED INSURANCE"
"Barkha Ceramics Company Private Limited","PWS Warehouse","6770226","Bagar Ratan Sahar Station Road,","Jhunjhunun","RAJASTHAN","10000","09-Aug-2023","08-Feb-2028","9983957860","Active",""
"Barkha Ceramics Company Private Limited","Barkha Ceramics Company Private Limited","6291649","Godown Jaipur Bikaner NH 11, KM Stone 36 Village Seruna the Sridungagarh","Bikaner","RAJASTHAN","7000","30-Jul-2021","29-Jul-2026","9983957860","Active",""
"BHAGWATI DEVI","Raj warehousing Srivijaynagar","7005390","Chak 33 GB Raisinghnagar Road,","Ganganagar","RAJASTHAN","6800","30-Dec-2024","29-Dec-2029","9414092045","Active",""
"Bhagwati Devi","Raj Warehousing","6532444","Chak 1 GB (A) Sarupsar Road Jaitsar,","Ganganagar","RAJASTHAN","8665","13-Sep-2021","12-Sep-2026","9587559000","Active",""
"Bhairu Gunjal","Bhomia warehouse","6972186","Khasra No. 323/2928, 329, 329/3307 Village Daurai, Beawar Road","Ajmer","RAJASTHAN","8000","28-Aug-2024","27-Feb-2029","9314394625","Active",""
"Bharti Bharti","Kalwa Warehouse","6784987","Khata No-384/335 ,Khasra No-1071/240, Sardarsahar Road At Village & Patwar","Hanumangarh","RAJASTHAN","8200","25-Sep-2023","24-Jun-2028","7728922682","Active",""
"Bhawna Janwani","M/S Krishna Leela Warehouse","6997837","Block No 1, Khasra No 71/3 & 71/4, Village Basni Benda Tehsil & District Jodhpur,","Jodhpur","RAJASTHAN","7005","26-Nov-2024","25-Aug-2028","9828127570","Active",""
"Bhoma Choudhary","Kissan Warehouse","6954002","Khasra No. 34 & 35, Village Bhainser Kotwali, Tehsil Tinwari","Jodhpur","RAJASTHAN","6673","02-Jul-2024","01-Jul-2029","9928364622","Active",""
"Bikaner Agro Food Industries Private Limited","Bikaner Agro Food Industries Pvt. Ltd.","7117179","F-360-364 & F-639 to F-643., Karni Industrial Area(Extn.), Bikaner","Bikaner","RAJASTHAN","6200","22-Jul-2025","21-Jul-2030","9829217027","Active",""
"bindu bkn","NIKHIL AGRO SERVICES","6804967","KHARA IND AREA BIKANER, BIKANER","Bikaner","RAJASTHAN","8432","21-Nov-2023","20-Nov-2028","8005647237","Inactive",""
"bindu bkn","singhania agro warehouse","6679773","17km milestone, sriganganagar road,bikaner","Bikaner","RAJASTHAN","3602","03-Feb-2023","02-Feb-2028","8005647237","Inactive",""
